"Name (SKU)","Supplier","Location","Drop Level","Total Inventory","Packed Inventory","Prelisted","Bulk Inventory","Ordered Inventory","Last Orders","SA BOMs","Popularity","Lead Time","Weeks On Hand","Case Qty","Discontinued","Core Status","Purchase Coverage Goal","Packed Coverage Goal","Buffer Settings","Carton/Sticker","Carton/Sticker Inventory","Recommended","W34 (8/16)","W35 (8/23)","W36 (8/30)","W37 (9/6)","W38 (9/13)","W39 (9/20)","W40 (9/27)","W41 (10/4)","W42 (10/11)","W43 (10/18)","W44 (10/25)","W45 (11/1)","W46 (11/8)","W47 (11/15)","W48 (11/22)","W49 (11/29)","W50 (12/6)","W51 (12/13)","W52 (12/20)","W1 (12/27)","W2 (1/3)","W3 (1/10)","W4 (1/17)","W5 (1/24)","W6 (1/31)","W7 (2/7)","W8 (2/14)","W9 (2/21)","W10 (2/28)","W11 (3/7)","W12 (3/14)","W13 (3/21)","W14 (3/28)","W15 (4/4)","W16 (4/11)","W17 (4/18)","W18 (4/25)","W19 (5/2)","W20 (5/9)","W21 (5/16)","W22 (5/23)","W23 (5/30)","W24 (6/6)","W25 (6/13)","W26 (6/20)","W27 (6/27)","W28 (7/4)","W29 (7/11)","W30 (7/18)","W31 (7/25)","W32 (8/1)","W33 (8/8)","W34 (8/15)","W35 (8/22)","W36 (8/29)","W37 (9/5)","W38 (9/12)","W39 (9/19)","W40 (9/26)","W41 (10/3)"
"Gummi Sharks Blue Bulk ( RM-01-017-A )","Albanese","Englewood","0 lb","385 lb","0","-","105 lb","280 lb","P02116 7/12/26","SA-01-017-A 3.8","Candy & Snacks :  1.9 %","5 w","8 w","—","SA-01-017-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-017-XXX","533","208 lbs","26 lb","40 lb","32 lb","35 lb","34 lb","39 lb","47 lb","83 lb","62 lb","47 lb","53 lb","44 lb","50 lb","76 lb","61 lb","227 lb","448 lb","646 lb","442 lb","117 lb","140 lb","67 lb","49 lb","33 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mini Gummy Butterflies Bulk ( RM-01-026-A )","Albanese","Englewood","0 lb","286 lb","0","-","186 lb","100 lb","P02116 7/12/26","SA-01-026-A 2.8","Candy & Snacks :  1.3 %","5 w","8 w","—","SA-01-026-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-026-XXX","960","259 lbs","24 lb","37 lb","30 lb","32 lb","31 lb","36 lb","43 lb","76 lb","57 lb","43 lb","49 lb","41 lb","46 lb","70 lb","56 lb","208 lb","412 lb","593 lb","406 lb","107 lb","128 lb","61 lb","45 lb","30 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Gummy Worms Bulk ( RM-01-067-A )","Albanese","Englewood","0 lb","561 lb","0","-","201 lb","360 lb","P02116 7/12/26","SA-01-067-A 3.2","Candy & Snacks :  2.2 %","5 w","8 w","—","SA-01-067-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-067-XXX","1,594","257 lbs","36 lb","56 lb","45 lb","48 lb","47 lb","53 lb","65 lb","115 lb","86 lb","64 lb","73 lb","61 lb","69 lb","105 lb","84 lb","313 lb","617 lb","890 lb","609 lb","161 lb","193 lb","92 lb","67 lb","45 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gummy Worms Bulk ( RM-01-069-A )","Albanese","Englewood","0 lb","178 lb","0","-","98 lb","80 lb","P02116 7/12/26","SA-01-069-A 2.2","Candy & Snacks :  1.2 %","5 w","8 w","—","SA-01-069-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-069-XXX","747","465 lbs","28 lb","44 lb","35 lb","38 lb","37 lb","42 lb","51 lb","90 lb","67 lb","51 lb","57 lb","48 lb","55 lb","82 lb","66 lb","246 lb","485 lb","700 lb","479 lb","126 lb","151 lb","73 lb","53 lb","36 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peach Rings Bulk ( RM-01-058-A )","Albanese · then  Redstone","Englewood","0 lb","565 lb","0","-","45 lb","520 lb","P02116 7/12/26","SA-01-058-A 2.8","Candy & Snacks :  2.5 %","5 w","8 w","—","SA-01-058-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-058-XXX","1,630","525 lbs","48 lb","74 lb","59 lb","64 lb","62 lb","71 lb","87 lb","153 lb","114 lb","86 lb","97 lb","81 lb","93 lb","140 lb","112 lb","417 lb","823 lb","1187 lb","812 lb","214 lb","257 lb","123 lb","90 lb","60 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mini Gummy Bear Cubs Bulk ( RM-01-074-A )","Albanese · then  Redstone · Jerry's","Englewood","0 lb","421 lb","0","-","301 lb","120 lb","P02116 7/12/26","SA-01-074-A 2.9","Candy & Snacks :  1.7 %","5 w","8 w","—","SA-01-074-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-074-XXX","2,640","305 lbs","32 lb","50 lb","40 lb","43 lb","41 lb","47 lb","58 lb","102 lb","76 lb","57 lb","65 lb","54 lb","62 lb","93 lb","74 lb","278 lb","549 lb","791 lb","541 lb","143 lb","171 lb","82 lb","60 lb","40 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rainbow Bears Bulk ( RM-01-101-A )","Albanese · then  Redstone · Jerry's","Englewood","0 lb","292 lb","0","-","-28 lb","320 lb","P02116 7/12/26","SA-01-101-A 2.6","Candy & Snacks :  1.3 %","5 w","8 w","—","SA-01-101-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-101-XXX","1,062","308 lbs","27 lb","41 lb","33 lb","35 lb","34 lb","39 lb","48 lb","84 lb","63 lb","47 lb","54 lb","45 lb","51 lb","77 lb","61 lb","230 lb","453 lb","653 lb","447 lb","118 lb","141 lb","68 lb","49 lb","33 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Starbursts Bulk ( RM-01-016-A )","Blair Candy · then  Redstone","Englewood","0 lb","120 lb","0","-","-80 lb","200 lb","P02137 7/27/26","SA-01-016-A 3.0","Candy & Snacks :  1.6 %","4 w","4 w","—","SA-01-016-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-016-XXX","305","242 lbs","28 lb","43 lb","35 lb","38 lb","36 lb","42 lb","51 lb","89 lb","67 lb","50 lb","57 lb","47 lb","54 lb","82 lb","65 lb","244 lb","481 lb","693 lb","474 lb","125 lb","150 lb","72 lb","52 lb","35 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Patch Kids Bulk ( RM-01-057-A )","Blair Candy · then  Redstone","Englewood","0 lb","76 lb","0","-","-24 lb","100 lb","P02137 7/27/26","SA-01-057-A 2.9","Candy & Snacks :  2.0 %","4 w","4 w","—","SA-01-057-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-057-XXX","2,228","396 lbs","37 lb","57 lb","45 lb","49 lb","47 lb","54 lb","66 lb","116 lb","87 lb","65 lb","74 lb","62 lb","71 lb","106 lb","85 lb","318 lb","627 lb","904 lb","619 lb","163 lb","196 lb","94 lb","68 lb","46 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reeses Pieces Bulk ( RM-01-062-A )","Blair Candy · then  Redstone","Englewood","0 lb","359 lb","0","-","209 lb","150 lb","P02137 7/27/26","SA-01-062-A 2.6","Candy & Snacks :  2.6 %","4 w","4 w","—","SA-01-062-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-062-XXX","1,302","322 lbs","53 lb","82 lb","65 lb","71 lb","68 lb","78 lb","95 lb","168 lb","126 lb","94 lb","107 lb","89 lb","102 lb","154 lb","123 lb","459 lb","906 lb","1307 lb","894 lb","236 lb","283 lb","135 lb","99 lb","66 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Patch Watermelons Bulk ( RM-01-063-A )","Blair Candy · then  Redstone","Englewood","0 lb","301 lb","0","-","151 lb","150 lb","P02137 7/27/26","SA-01-063-A 3.4","Candy & Snacks :  3.1 %","4 w","4 w","—","SA-01-063-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-063-XXX","3,392","315 lbs","48 lb","74 lb","59 lb","64 lb","62 lb","71 lb","86 lb","152 lb","114 lb","85 lb","97 lb","81 lb","92 lb","139 lb","111 lb","414 lb","818 lb","1180 lb","807 lb","213 lb","255 lb","122 lb","89 lb","60 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
